STT,Loại hình cân,QR phế thải,Nhà máy - Phòng ban,Tên nhà thầu,Biển số xe,Mã nhóm phế thải,Nhóm phế thải,Mã phế thải,Tên phế thải nội bộ,Tên phế thải ngoại bộ,Tên phế thải tiếng anh,Phương pháp xử lí,Đặc tính,Phân loại,Cột biểu đồ,Phương pháp cân,Số vạch,Hệ số,Số Pallet,KL pallet,KL bao bì,KL/đơn vị,Mã xe đẩy,Trọng lượng xe đẩy,KL Tổng,KL bì,KL phế thải,Tên bản ghi,Thời gian tạo,Người vận hành
119,Output,N02W1TL,,Thăng Long,17M7-6429,N02,Waste Paper,N02W1,Bìa giấy carton,Carton paper scrap (Phế liệu bìa giấy), Carton paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250301-F1-GIAO-TL-17M76429-01,3/1/2025 6:36:58 AM,,
120,Output,S08W2TTP,,Tân Thuận Phong,19DS-3243,S08,Cu containing Waste,S08W2,Bùn chứa H2O2,Bùn xử lý nước thải chứa H2O2,The sludge contain H2O2 from Waste water treatment system (HW code: 12 06 06),Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250301-F1-GIAO-TTP-19DS3243-01,3/1/2025 5:23:30 AM,,
121,Output,N02W4TL,,Thăng Long,17M7-6429,N02,Waste Paper,N02W4,Giấy CL,CL paper scrap (Phế liệu giấy loại 1),Paper from CL press process,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250301-F1-GIAO-TL-17M76429-01,3/1/2025 5:20:06 AM,,
122,Output,N02W4TL,,Thăng Long,17M7-6429,N02,Waste Paper,N02W4,Giấy CL,CL paper scrap (Phế liệu giấy loại 1),Paper from CL press process,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250301-F1-GIAO-TL-17M76429-01,3/1/2025 5:20:01 AM,,
123,Input,N01W2F1MIC,F1-Micro,,,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250224-F1-NHAN,2/24/2025 4:46:25 PM,,
124,Input,N01W2F1CLT,F1-CL TACK,,,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250224-F1-NHAN,2/24/2025 4:42:13 PM,,
125,Input,N01W2F1CLT,F1-CL TACK,,,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250224-F1-NHAN,2/24/2025 4:40:52 PM,,
126,Input,N01W3F5BNA,F5-SMT BNA,,,N01,Waste Plastic,N01W3,Nhựa màu,Color plastic scrap ( Phế liệu nhựa màu),Color plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,24.60,0.00,24.60,20250221-F1-NHAN,2/21/2025 2:38:22 PM,,
127,Input,N01W4F1RGB,F1-RGO BIKU-PUN,,,N01,Waste Plastic,N01W4,Nhựa trắng,White E Plastic scrap ( Phế liệu nhựa trắng ),White plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,24.80,0.00,24.80,20250221-F1-NHAN,2/21/2025 2:30:41 PM,,
128,Input,N02W1F1ANA,F1-Analysit,,,N02,Waste Paper,N02W1,Bìa giấy carton,Carton paper scrap (Phế liệu bìa giấy), Carton paper ,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250220-F1-NHAN,2/20/2025 4:17:52 PM,,
129,Output,N01W7TL,,Thăng Long,17M7-6429,N01,Waste Plastic,N01W7,Phế liệu tấm nhựa đệm,Large Supporting board scrap ( Phế liệu tấm nhựa đệm),Large supporting board,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250214-F1-GIAO-TL-17M76429-02,2/14/2025 6:02:38 AM,,
130,Output,N01W7TL,,Thăng Long,17M7-6429,N01,Waste Plastic,N01W7,Phế liệu tấm nhựa đệm,Large Supporting board scrap ( Phế liệu tấm nhựa đệm),Large supporting board,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250214-F1-GIAO-TL-17M76429-02,2/14/2025 6:02:17 AM,,
131,Output,N01W6TL,,Thăng Long,17M7-6429,N01,Waste Plastic,N01W6,Đĩa nhựa,Disc plastic scrap ( Phế liệu nhựa loại 4 ),Disc plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250214-F1-GIAO-TL-17M76429-02,2/14/2025 5:57:08 AM,,
132,Output,N01W6TL,,Thăng Long,17M7-6429,N01,Waste Plastic,N01W6,Đĩa nhựa,Disc plastic scrap ( Phế liệu nhựa loại 4 ),Disc plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250214-F1-GIAO-TL-17M76429-02,2/14/2025 5:56:59 AM,,
133,Output,N01W6TL,,Thăng Long,17M7-6429,N01,Waste Plastic,N01W6,Đĩa nhựa,Disc plastic scrap ( Phế liệu nhựa loại 4 ),Disc plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250214-F1-GIAO-TL-17M76429-02,2/14/2025 5:56:31 AM,,
134,Output,N01W6TL,,Thăng Long,17M7-6429,N01,Waste Plastic,N01W6,Đĩa nhựa,Disc plastic scrap ( Phế liệu nhựa loại 4 ),Disc plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250214-F1-GIAO-TL-17M76429-02,2/14/2025 5:54:25 AM,,
135,Output,N01W2TL,,Thăng Long,17M7-6429,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250214-F1-GIAO-TL-17M76429-02,2/14/2025 5:52:17 AM,,
136,Output,N01W2TL,,Thăng Long,17M7-6429,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250214-F1-GIAO-TL-17M76429-01,2/14/2025 5:51:27 AM,,
137,Output,N01W2TL,,Thăng Long,17M7-6429,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250214-F1-GIAO-TL-17M76429-01,2/14/2025 5:51:07 AM,,
138,Output,N01W2TL,,Thăng Long,17M7-6429,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250214-F1-GIAO-TL-17M76429-01,2/14/2025 5:40:30 AM,,
139,Output,N01W2TL,,Thăng Long,17M7-6429,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250214-F1-GIAO-TL-17M76429-01,2/14/2025 5:38:04 AM,,
140,Output,N01W2TL,,Thăng Long,17M7-6429,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250214-F1-GIAO-TL-17M76429-01,2/14/2025 5:23:25 AM,,
141,Output,N01W2TL,,Thăng Long,17M7-6429,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250214-F1-GIAO-TL-17M76429-01,2/14/2025 5:22:09 AM,,
142,Output,N01W2TL,,Thăng Long,17M7-6429,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250214-F1-GIAO-TL-17M76429-01,2/14/2025 5:21:05 AM,,
143,Output,N01W2TL,,Thăng Long,17M7-6429,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250214-F1-GIAO-TL-17M76429-01,2/14/2025 5:20:24 AM,,
144,Output,N01W2TL,,Thăng Long,17M7-6429,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân xe đẩy,0,0.00,0,0.00,45.00,0.00,,0.00,180.00,45.00,135.00,20250214-F1-GIAO-TL-17M76429-01,2/14/2025 5:19:34 AM,,
145,Input,N14W2F1PUN,F1-Punching,,,N14,Mixed Non recyclable Waste,N14W2,Giấy chứa nilon,,Paper contain Nylon ,Incineration with WtE,Không nguy hại; không tái chế,Rác thuê xử lý,Paper contain Nylon ,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250212-F1-NHAN,2/12/2025 4:52:22 PM,,
146,Input,N14W1F1MIC,F1-Micro,,,N14,Mixed Non recyclable Waste,N14W1,Rác công nghiệp,Rác công nghiệp không nhiễm thành phần nguy hại,PET plastic and PET plastic contain paper,Incineration with WtE,Không nguy hại; không tái chế,Rác thuê xử lý,PET plastic and PET plastic contain paper,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250212-F1-NHAN,2/12/2025 4:51:57 PM,,
147,Output,N03W4TT,,Thuận Thành,18AE-1234,N03,Waste Metal,N03W4,Phế liệu dây chì thải,Dây chì,Aluminum 1,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250212-F1-GIAO-TT-18AE1234-01,2/12/2025 3:40:50 PM,,
148,Output,N03W5TT,,Thuận Thành,18AE-1234,N03,Waste Metal,N03W5,Phế liệu nhôm,Aluminum (Phế liệu nhôm),Aluminum 2,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250212-F1-GIAO-TT-18AE1234-01,2/12/2025 3:24:25 PM,,
